Date,Open,High,Low,Close,Volume
Today-854,51.32,52,50.7,51.68,8050300
Today-855,53.08,53.42,51.03,51.24,10639900
Today-856,51.97,53.1,51.85,52.97,6176800
Today-857,53.22,53.47,51.79,52.1,9081900
Today-858,52.78,53.5,52.37,53.19,8143300
Today-859,54.08,54.15,52.72,53.36,8202300
Today-860,55.12,55.98,54.76,55.04,4692200
Today-861,55.35,55.5,54.4,55.08,5263200
Today-862,54.95,55.5,54.81,55.1,5385900
Today-863,54.39,55.63,54.3,54.78,8349400
Today-864,52.91,54.03,52.91,53.57,8487100
Today-865,51.45,52.57,51.42,52.27,5181500
Today-866,54.09,54.47,51.67,51.9,8472700
Today-867,53.95,54.43,53.34,53.56,5306500
Today-868,52.95,54.44,52.89,53.34,6052300
Today-869,52.87,53.77,52.57,53.02,9165300
Today-870,50.85,52.45,50.55,52.29,7986000
Today-871,50.7,51.15,50.16,50.3,6758000
Today-872,50.37,51.65,50.01,51.29,12084300
Today-873,51.95,51.95,49.87,49.99,14447000
Today-874,53.67,54.25,51.5,51.75,14015800
Today-875,54,54.95,53.2,54.25,8655900
Today-876,53.93,54.2,52.56,53.76,10434600
Today-877,54.55,54.6,52.59,52.93,11014200
Today-878,56.2,56.46,55.03,55.73,6849400
Today-879,57.59,57.66,54.5,55.85,14698100
Today-880,56.3,58.35,56.12,58.1,9553800
Today-881,55.39,56.27,54.8,56.06,7776200
Today-882,53.15,55.5,53,54.66,9421000
Today-883,52.42,53.75,52.25,53.54,7813700
Today-884,52,52.93,51.86,52.03,6944700
Today-885,53.45,53.5,51.74,51.86,8260800
Today-886,52.99,54.15,52.6,54,4842800
Today-887,54.61,54.71,52.85,53.12,6826000
Today-888,54.61,55.18,54.04,54.7,5374300
Today-889,54.4,54.75,53.23,54.19,6134900
Today-890,54.4,55.04,53.9,54.68,7478300
Today-891,53.33,54.45,52.15,53.67,11189300
Today-892,52.02,52.95,49.45,51.62,14005700
Today-893,55.02,55.62,52.53,52.64,9480900
Today-894,57.4,57.43,54.66,55.34,9769100
Today-895,57.96,58.2,57,57.42,6392400
Today-896,56.56,58.21,55.83,57.13,14215300
Today-897,54.5,57.43,54.36,56.46,12472400
Today-898,54.22,57.25,54.2,55.28,12370600
Today-899,53.69,54.55,53.1,53.56,9992300
Today-900,53.83,54.31,53.15,53.78,9430400
Today-901,55.16,55.58,53.38,53.43,13789200
Today-902,53.37,54.29,51.93,52.77,9263700
Today-903,53.35,53.93,50.62,53.19,17174000
Today-904,57.2,57.52,53.5,53.63,19556600
Today-905,55.11,56.95,54.04,56.56,12931600
Today-906,56.65,57.5,54.25,54.83,11766100
Today-907,57.8,58.4,55,56.61,12920500
Today-908,57.63,58.5,57,57.8,9181600
Today-909,57,58.6,55.8,57.12,14055000
Today-910,57.75,58.05,56.82,56.94,8164200
Today-911,59.5,59.75,56.87,56.96,20307800
Today-912,57.61,57.86,55.5,55.96,17937700
Today-913,56.21,57.59,55.67,57.15,14387700
Today-914,54.45,57.14,54.41,56.7,16928200
Today-915,54.72,54.79,53.71,54.18,7675500
Today-916,54.35,55.06,53.33,54.76,10980600
Today-917,52.3,54.56,51.65,54.43,12692100
Today-918,52,52.39,51.52,51.65,7753000
Today-919,51.22,52.15,50.39,51.28,10407400
Today-920,49.8,51.9,49.7,51.24,11530000
Today-921,48.25,49.2,48.16,49.2,5201800
Today-922,47.63,48.11,47.22,48.09,6746400
Today-923,48.08,48.17,47.14,47.6,4695900
Today-924,48.51,48.65,48.01,48.4,5107800
Today-925,49.04,49.61,48.61,48.94,7304100
Today-926,48.31,49.18,48.07,48.64,6304700
Today-927,47.03,48.65,47.03,48.51,6613600
Today-928,47.63,48,47,47.31,7015300
Today-929,47.35,47.97,46.89,47.13,6174400
Today-930,48.42,48.9,47.53,47.9,7100300
Today-931,46.48,48.6,46.48,48.54,11949100
Today-932,47.75,48,46.3,46.45,8266300
Today-933,47.2,47.95,47.07,47.62,7218000
Today-934,46.66,47.6,46.4,47.31,10327100
Today-935,45.45,46.49,44.88,46.4,11506500
Today-936,44.27,45.09,44.09,44.98,5303100
Today-937,44.31,44.72,43.71,44.18,5990700
Today-938,44.57,44.86,43.95,44.05,7695000
Today-939,44.01,45.23,43.93,44.85,9131700
Today-940,43.01,44.26,42.95,44.22,7131800
Today-941,43.61,44.28,42.88,42.92,9446800
Today-942,43.4,43.88,42.86,43.68,6742500
Today-943,43.53,43.98,42.84,43.39,6409900
Today-944,41.92,44,41.86,43.73,12863500
Today-945,43.8,44,42.5,42.54,9502200
Today-946,43.34,43.99,43.15,43.55,6965700
Today-947,41.57,43.25,41.5,43.15,8645000
Today-948,41.84,42.31,41.69,41.89,4691100
Today-949,42.09,42.3,41.67,41.97,4217800
Today-950,42.99,43.13,41.78,42,9190800
Today-951,43.65,43.96,43.15,43.2,5690200
Today-952,43.72,43.84,42.57,43.54,14242500
Today-953,44.26,44.85,44,44.27,4843800
Today-954,44.13,44.2,43.3,44.14,5336800
Today-955,44.16,44.5,43.75,44.07,5324500
Today-956,44.27,44.82,43.74,44.44,5439500
Today-957,44.62,45,44,44.26,6098200
Today-958,45.1,45.48,44.65,44.83,5535300
Today-959,44.58,44.92,44.1,44.87,5295200
Today-960,44.75,44.91,43.64,44.1,6128300
Today-961,44.28,45.22,44.28,45.03,6306900
Today-962,43.76,44.6,43.6,44.39,4539500
Today-963,44.29,44.69,43.81,43.96,4839900
Today-964,43.84,44.31,43.65,44.15,5167800
Today-965,42.75,43.99,42.75,43.78,7281000
Today-966,42.66,42.9,42.36,42.5,7245200
Today-967,43.45,43.5,42.25,42.72,9721400
Today-968,43.93,44.33,43.45,43.45,6746200
Today-969,45.24,46.3,43.72,44.01,16395300
Today-970,44.5,45.41,44.35,45.2,13570700
Today-971,43.8,44.25,43.3,43.93,6831400
Today-972,43.02,43.98,42.45,43.54,13009700
Today-973,42.46,42.71,41.73,41.86,6027700
Today-974,43.12,43.31,42.3,42.53,6147500
Today-975,41.71,42.9,41.63,42.59,5717400
Today-976,42,42.54,41.48,42.23,7743000
Today-977,42.86,42.9,41.93,42.18,7621500
Today-978,43.45,43.45,42.58,42.85,7370500
Today-979,43.95,44.25,43,43.35,6504800
Today-980,43,43.55,42.72,43.4,5206800
Today-981,43.98,44.08,42.88,43.22,9814200
Today-982,44.03,44.54,44.03,44.25,4753500
Today-983,45.09,45.09,43.93,44.03,4665900
Today-984,45.14,45.15,44.22,44.5,5803200
Today-985,44.19,45.1,43.95,44.67,8674800
Today-986,44.2,44.36,43.53,43.91,6037400
Today-987,44.14,44.16,43.54,44,4945200
Today-988,44.02,44.26,43.4,43.8,5975000
Today-989,45.08,45.2,43.15,43.82,11575000
Today-990,44.84,45.29,44.49,44.7,8963200
Today-991,44.85,45.48,44.71,44.8,7309000
Today-992,45.2,45.33,44.05,44.82,8953300
Today-993,43.87,45.14,43.8,44.88,14987300
Today-994,44,44.13,43.3,43.5,10452300
Today-995,44.25,44.36,43.13,43.48,17932800
Today-996,40.85,42.07,40.2,41.91,16380500
Today-997,40.8,40.93,39.72,39.99,8809300
Today-998,40.65,40.97,40.2,40.57,8122600
Today-999,40.7,40.9,40.46,40.65,7210600
Today-1000,40.5,40.75,39.81,40.75,11830500
Today-1001,40.5,41.49,40.17,40.28,15775900
Today-1002,39.74,40.48,39.63,40.17,9320600
Today-1003,40.2,40.42,39,39.41,7707600
Today-1004,40.24,40.3,39.54,39.81,10227900
Today-1005,39.21,39.55,38.67,38.75,13662800
Today-1006,37.7,38.66,37.31,38.64,12499900
Today-1007,37.81,38.8,37.1,37.14,10916600
Today-1008,37.11,38.46,37.05,37.84,19941900
Today-1009,35.85,37.6,35.82,37.01,14397500
Today-1010,37.06,37.3,36.13,36.42,13896400
Today-1011,37.4,38.47,36.64,36.91,18660900
Today-1012,39,39.29,37.5,38.22,12270500
Today-1013,39.14,39.19,38.14,38.62,9815400
Today-1014,39,39.39,38.4,38.95,16677700
Today-1015,40.14,40.82,39.57,39.85,11272300
Today-1016,38.87,40.73,38.85,40.52,20542500
Today-1017,41.11,41.28,40.05,40.13,7597000
Today-1018,40.78,41.73,40.72,41.15,6790500
Today-1019,40,40.95,39.85,40.8,6094800
Today-1020,40,40.4,39.75,39.85,6088000
Today-1021,40.35,40.75,39.71,39.79,7901500
Today-1022,42.01,42.12,39.89,40.3,14652500
Today-1023,41.41,41.95,41.25,41.84,4400600
Today-1024,41.58,42.2,41.45,41.66,8748100
Today-1025,41.25,41.5,40.74,41.2,7535500
Today-1026,40.75,41.31,40.48,40.85,7272200
Today-1027,40.59,40.85,40.2,40.8,8346300
Today-1028,40.2,40.85,40.18,40.74,12091800
Today-1029,39.34,40.3,38.89,40.18,35465500
Today-1030,42.55,42.91,42.02,42.83,13583100
Today-1031,42.01,42.96,41.92,42.24,11176600
Today-1032,41.69,43.07,41.38,42.73,9426800
Today-1033,42.45,42.66,41.27,41.59,9240700
Today-1034,42.81,43.16,42.43,42.46,10063500
Today-1035,41.9,42.84,41.8,42.5,8218500
Today-1036,42.56,42.86,41.65,41.67,7801100
Today-1037,42.25,42.85,42.05,42.35,9117600
Today-1038,43.36,43.45,42.22,42.67,9459200
Today-1039,43.52,43.89,42.98,43.46,8808000
Today-1040,43.79,44.25,43.43,43.89,6434000
Today-1041,43.3,44.78,43.25,44.03,9446600
